% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.60    0.001745         134        13           read
  0.34    0.000006           2         3           write
  0.06    0.000001           0        25           close
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1           fdatasync
  0.00    0.000000           0        38        13 openat
  0.00    0.000000           0         4           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.001752          15       111        13 total
